Data,PIB - formação bruta de capital fixo - índice real (base 2010 = 100),
1970,24.6664493279608,
1971,28.4523758319287,
1972,33.2080619796499,
1973,40.1790139547086,
1974,45.5053232642567,
1975,49.9353075708452,
1976,53.4444974685219,
1977,52.8186980964539,
1978,55.32631708863,
1979,57.476183385812,
1980,65.2133831935235,
1981,57.2892402285209,
1982,53.3909240563308,
1983,44.6727525029159,
1984,44.5913585665177,
1985,48.4975961862172,
1986,59.4545467018595,
1987,58.6440116173878,
1988,55.7513343758851,
1989,56.419141704137,
1990,50.2666583354996,
1991,47.8924716631045,
1992,44.7216780284684,
1993,47.553109294515,
1994,54.3312437131336,
1995,58.2917857194705,
1996,58.9886763407281,
1997,63.9544105869862,
1998,63.8496271752099,
1999,58.1827796989989,
2000,60.9832283590523,
2001,61.7787396400534,
2002,60.8867937623378,
2003,58.4607519350969,
2004,63.422294554179,
2005,64.6630260454504,
2006,68.9700933290699,
2007,77.2136802122195,
2008,86.7008926149552,
2009,84.8508041047352,
2010,100,
2011,106.834046414168,
2012,107.666045391927,
2013,113.939962363395,
2014,109.127060130219,
2015,93.9076544653836,
2016,82.5168189696494,
2017,80.4065705145382,
2018,84.6132479486285,
2019,88.0198344176949,
2020,86.4821619384761,
2021,97.6445175924579,
2022,98.708330418332,
2023,95.7423847923168,
