Data,IGP-M,
1990,1699.69558925529,
1991,458.373460827786,
1992,1174.47371448292,
1993,2567.45895638395,
1994,1246.61778989253,
1995,15.2470916705444,
1996,9.1994864050778,
1997,7.74265113699391,
1998,1.78180445451115,
1999,20.1010175937852,
2000,9.9540143403388,
2001,10.3846762703815,
2002,25.3068286431998,
2003,8.70833287185222,
2004,12.4127625613421,
2005,1.20874307034635,
2006,3.83157316585374,
2007,7.75438273698978,
2008,9.80750503581767,
2009,-1.71924922553605,
2010,11.3231429496735,
2011,5.09681302062399,
2012,7.81824482516713,
2013,5.51061044346715,
2014,3.68575514980403,
2015,10.539166948817,
2016,7.17290825289607,
2017,-0.520940444939078,
2018,7.53687340296325,
2019,7.3039306458065,
2020,23.1383511260526,
2021,17.7832123394504,
2022,5.4512855725948,
2023,-3.18120664320427,
