Data,PIB - serviços - comércio - variação real anual - (% a.a.),
1948,6.90000000000001,
1949,7.3,
1950,7.90000000000001,
1951,6,
1952,5.90000000000001,
1953,1.90000000000001,
1954,9.8,
1955,9.2,
1956,0,
1957,10.5,
1958,10.6,
1959,10.7,
1960,9.09999999999999,
1961,8.09999999999999,
1962,5.8,
1963,-0.0999999999999943,
1964,1.40000000000001,
1965,2.3,
1966,6.59999999999999,
1967,4.59999999999999,
1968,9.90000000000001,
1969,9.5,
1970,10.5,
1971,10.45,
1972,13.53,
1973,14.78,
1974,8.94,
1975,2.81,
1976,10.63,
1977,3.43000000000001,
1978,4.54000000000001,
1979,5.59,
1980,8.45999999999999,
1981,-6.13,
1982,0.420000000000002,
1983,-3.83,
1984,3.73999999999999,
1985,7.27,
1986,7.48,
1987,1.88,
1988,-2.69,
1989,2.7,
1990,-6.23999999999999,
1991,-0.640000000000001,
1992,-3.55,
1993,7.9,
1994,9.34583093724892,
1995,8.53313567574077,
1996,1.81337204420875,
1997,3.85429847894014,
1998,-1.87050866563332,
1999,-2.21987934165065,
2000,4.49450324195442,
2001,1.84337261837939,
2002,-2.36230879628064,
2003,-0.392079659985711,
2004,9.27104358000919,
2005,3.11267874773347,
2006,4.97782308526982,
2007,8.25907497001426,
2008,5.32924004689306,
2009,-2.33483545845945,
2010,11.1494641897531,
2011,2.34101900636428,
2012,2.36449329000799,
2013,3.42434151136433,
2014,0.555784440966844,
2015,-7.30354350377349,
2016,-6.62585240364704,
2017,2.313770154923,
2018,2.6328168661103,
2019,1.63374612251883,
2020,-1.45114820262828,
2021,4.49084384003799,
2022,0.897517388429403,
2023,0.627449304626748,
