Data,PIB - indústria - extrativa - variação real anual - (% a.a.),
1948,20,
1949,-0.900000000000006,
1950,-3.2,
1951,22.1,
1952,-3.3,
1953,7.90000000000001,
1954,-2.09999999999999,
1955,7.09999999999999,
1956,11.1,
1957,3.40000000000001,
1958,18,
1959,25.2,
1960,17.4,
1961,5.90000000000001,
1962,1.5,
1963,18.4,
1964,12,
1965,21.4,
1966,13.9,
1967,2.2,
1968,15.6,
1969,11.9,
1970,17,
1971,3.59999999999999,
1972,2.40000000000001,
1973,9.76,
1974,23.24,
1975,3.02,
1976,2.75,
1977,-3.47,
1978,7.51,
1979,12.05,
1980,12.84,
1981,-2.22755568889218,
1982,6.92697146363914,
1983,15.4506540402229,
1984,30.485935622851,
1985,11.5975656845483,
1986,3.69177955093709,
1987,-0.754301666979851,
1988,0.375960186086788,
1989,3.95659867245108,
1990,2.73376073545442,
1991,-1.99201934942072,
1992,-2.64704812552818,
1993,1.57603114657343,
1994,6.16124914072474,
1995,3.72596255547404,
1996,2.43805359726208,
1997,4.99778204938641,
1998,3.6165577342046,
1999,-4.36236268110187,
2000,9.08791570628915,
2001,5.40159173815298,
2002,15.2335777231508,
2003,4.58276370866706,
2004,-0.469343083451712,
2005,6.80708347715642,
2006,6.52456096405289,
2007,2.89041814567166,
2008,4.11365808153425,
2009,-2.12054433286666,
2010,14.8879035206511,
2011,3.47019506206521,
2012,-1.94012314922463,
2013,-3.18651277451649,
2014,9.05170138412323,
2015,5.6965210474196,
2016,-1.21961127711626,
2017,4.92307692307692,
2018,0.389212313663223,
2019,-9.14949493695248,
2020,0.858782279547299,
2021,3.59786173591923,
2022,-1.38788886279352,
2023,8.69044300578299,
