Data,PIB - formação bruta de capital fixo - construção - índice real (base 2010 = 100),
1970,19.9943249006968,
1971,22.4936155132839,
1972,26.5199726901617,
1973,32.0626469824055,
1974,34.9803478578044,
1975,37.8137560342866,
1976,41.6594150229735,
1977,43.8423683701773,
1978,46.5605952091283,
1979,48.287993291387,
1980,56.0737578204989,
1981,52.6756880965767,
1982,51.3851337382105,
1983,43.9651204264129,
1984,43.4551250294666,
1985,46.0407049687198,
1986,54.2543667351394,
1987,54.6558490489794,
1988,52.9560521435562,
1989,54.5923941547921,
1990,49.2696357246998,
1991,49.0637164505099,
1992,50.1776472376312,
1993,51.4709958621358,
1994,58.7601485199598,
1995,64.7900925938066,
1996,68.5881325044789,
1997,74.8437276514671,
1998,76.0725052696249,
1999,72.9447076961307,
2000,74.3968994266818,
2001,73.8017242312684,
2002,74.3921380251185,
2003,68.8871198112597,
2004,74.1225409169155,
2005,73.0848253440787,
2006,74.6196066763043,
2007,79.0967830768826,
2008,84.7917514584181,
2009,89.2857142857143,
2010,100,
2011,107.3,
2012,111.592,
2013,116.278864,
2014,112.557940352,
2015,101.189588376448,
2016,90.2611128317916,
2017,82.4083960154257,
2018,81.1722700751943,
2019,85.0685390388037,
2020,85.5789502730365,
2021,95.7628453555278,
2022,101.412853231504,
2023,101.210027525041,
